,0
129,-9391.087971650564
130,-9369.625928070322
131,-9348.291385528655
132,-9327.08318202881
133,-9306.000169370702
134,-9285.041212940887
135,-9264.205191507212
136,-9243.490997017892
137,-9222.89753440498
138,-9202.42372139194
139,-9182.068488305315
140,-9161.830777890225
141,-9141.709545129701
142,-9121.703757067591
143,-9101.812392635058
144,-9082.034442480426
145,-9062.368908802388
146,-9042.81480518638
147,-9023.37115644409
148,-9004.036998455951
149,-8984.8113780166
150,-8965.693352683142
151,-8946.681990626186
152,-8927.776370483578
153,-8908.975581216733
154,-8890.27872196949
155,-8871.68490192946
156,-8853.193240191786
157,-8834.802865625195
158,-8816.512916740408
159,-8798.322541560705
160,-8780.230897494708
161,-8762.237151211259
162,-8744.340478516371
163,-8726.540064232191
164,-8708.83510207794
165,-8691.224794552778
166,-8673.708352820531
167,-8656.284996596298
168,-8638.953954034798
169,-8621.714461620542
170,-8604.56576405966
171,-8587.507114173464
172,-8570.53777279363
173,-8553.657008659015
174,-8536.864098314034
175,-8520.1583260086
176,-8503.538983599596
177,-8487.005370453791
178,-8470.556793352274
179,-8454.192566396274
180,-8437.912010914397
181,-8421.714455371259
182,-8405.599235277443
183,-8389.56569310079
184,-8373.613178179015
185,-8357.741046633555
186,-8341.948661284714
187,-8326.235391568036
188,-8310.600613451852
189,-8295.043709356067
190,-8279.564068072075
191,-8264.161084683852
192,-8248.834160490145
193,-8233.58270292781
194,-8218.406125496205
195,-8203.303847682679
196,-8188.275294889096
197,-8173.319898359409
198,-8158.43709510826
199,-8143.6263278505485
200,-8128.887044932036
201,-8114.218700260874
202,-8099.6207532401195
203,-8085.092668701171
204,-8070.63391683813
205,-8056.243973143089
206,-8041.922318342288
207,-8027.668438333179
208,-8013.481824122329
209,-7999.3619717642
210,-7985.308382300758
211,-7971.320561701914
212,-7957.398020806769
213,-7943.540275265669
214,-7929.74684548306
215,-7916.0172565610865
216,-7902.351038243997
217,-7888.747724863266
218,-7875.206855283487
219,-7861.72797284898
220,-7848.310625331119
221,-7834.954364876381
222,-7821.658747955072
223,-7808.423335310768
224,-7795.247691910416
225,-7782.13138689509
226,-7769.073993531446
227,-7756.07508916378
228,-7743.134255166747
229,-7730.251076898715
230,-7717.425143655713
231,-7704.656048626019
232,-7691.943388845322
233,-7679.286765152505
234,-7666.685782145983
235,-7654.140048140636
236,-7641.649175125302
237,-7629.21277872083
238,-7616.8304781386805
239,-7604.501896140077
240,-7592.226658995681
241,-7580.004396445795
242,-7567.834741661103
243,-7555.717331203891
244,-7543.651804989808
245,-7531.637806250086
246,-7519.674981494289
247,-7507.762980473508
248,-7495.901456144065
249,-7484.09006463166
250,-7472.328465196001
251,-7460.616320195865
252,-7448.953295054644
253,-7437.3390582262955
254,-7425.773281161758
255,-7414.255638275784
256,-7402.7858069142
257,-7391.363467321583
258,-7379.988302609358
259,-7368.6599987242835
260,-7357.378244417361
261,-7346.142731213126
262,-7334.953153379322
263,-7323.809207896984
264,-7312.71059443086
265,-7301.65701530026
266,-7290.648175450215
267,-7279.683782423049
268,-7268.763546330267
269,-7257.887179824833
270,-7247.054398073773
271,-7236.264918731122
272,-7225.518461911214
